리뷰,별점
아름답고 독창적이다. 극장에서 볼 만하다. 그 나물 그 밥 한국영화보다 훨씬 좋다.,8
날씨의 아이보다 재밌어요! 스즈메의 금사빠도 이해가 잘 안 가고 처음엔 이게 뭔 씹덕얘기야 했지만 연출이 다 하는 듯 다른 슬픈 장면들은 그냥 안쓰럽기만 했는데 다이진이 목석으로 변하는 장면에선 엉엉 울었습니다.,9
윤계상… 연기를 참 잘한다고 느낌. 윤계상이 신의 한수임.ㅎㅎ;; 다들 연기 잘하구.. 스토리도 좋고 이영화 볼만함!! 그리고 윤계상 개존잘. 사실 윤계상때문에 봄,7
몰입 잘되서 재밌게 봤어요,10
작화랑 ost ㄹㅇ 미친듯,10
다영이의 마음이 너무 좋았음,10
재밌습니다 추천합니다,10
정말 영화를 보면서 눈물이 난다… 호불호가 좀 갈리는 편이지만 그래도 재밌게 ost가 좋은듯,9
원작을 정말 좋아했어서 한국에선 어떻게 만들어졌을까 궁금해서 봤어요. 김다미 배우님 팬이기도 하구여. 역시 실망시키지 않네여. 정말 고맙게 잘 봤습니다. 후반부에 절 너무 울리셨지만요 ㅎ,10
"괜찮았어요 ㅎㅎ 전체적으로 ㅔ나쁘지 않아요,",8
찾았다. 인생영화.“,10
찾았다. 인생영화.“,10
"정말 오랜만에 영화봤는데 감명받고 왔습니다. 모든 장면 하나하나에 다 의미가 있고, 뜬금없는 스토리가 등장하지 않는점, 전개가 매끄러운점 모든 부분이 완벽합니다.",10
중간중간 느껴지는 아슬아슬한 긴장감과 류준열의 빼어난 연기. 굉장히 잘 만든 영화.,10
신선한 스토리와 신선한 연출,10
신고,10
오랜만에 재대로 된 호러영화 본 듯 하네요.,8
"청춘 성장 영화를 생각했다가, 생각보다 생각할 거리를 많이 주는 영화여서 놀랐어요.나름 재미있게 봤고, 제주도 배경이 아름다웠습니다. 배우들의 연기도 좋았구요.",8
갸쩔어요 진짜 소타 사랑햐,10
그림체가 낯설어 안 봤는데 막상 보다 보니 넘 재밌어서 애정작 돼버림. 노래도 좋고 은근 재밌었음.,10
임영웅 가수의 빛나는 가창력에 감동받았어요. 최고의 가수입니다,10
아 이건아닌데진짜...,1
신고,10
원작보다 마음에 들었다.. 여운 심하다,10
재미에 호불호가 갈릴수는 있겠지마는.. 한가지 확실한건 여배우는 이뿌당..♡_♡::,6
병맛영화. 간만에 재밌는영화 봐서 좋아요 배꼽 빠질뻔 했어요,10
또 다른나 내가 닮아가고 서로 미워하고 사랑하는 순간 또 다른 나를 찾아가는 여행 같은 영화에요어린시절부터 함께 했지만 서로 오해와 갈등 속에서 너무 사랑하는 두사람 보니 눈물이 나네요,10
강백호 마지막 슛 쏠때 영화관 적막이팝콘 먹다  껍데기 때문에  기침도 못하고 ㅜㅜ,10
조카랑 봐서 너무 좋았어요 블록돼지 넘 웃겨요 ㅋㅋ,10
요즘 문의오는 전화중에 이거 때문에 고소 당했다고 전화 엄청오는데 합의금 장사도 좀 적당히 해라 여기가 전화통이 불통난다,1
발암 조연들억지로 스토리 늘리려고 억지로 발암 요소 다 쏟아부은듯영화 절반이 고구마네마블 디즈니는 PC와 더불어 억지 발암이 유행인가,4
감독님만이 주는 그 감성과 감동이 너무 좋았다ㅠ,10
신고,10
영상미가 너무 이뻤습니다 좋았어요,10
런닝타임도 길지 않고 지루함 없이 좋은 영상미를 보여 준 영화입니다.,8
작품성과 흥행성을 모두 갖춘 완벽한 액션 영화!,10
강과 바다가 만나는 곳에서는 사랑하는 이들이 우리를 기다린다고 해…,8
카운트,7
헐 야차 이게 왜 5점대지?? 몰입도는 살짝 떨어지나 액션 연기 스토리까지 나름 괜찮음.,10
캐리와 슈퍼콜라,7
두다다쿵: 후후섬의 비밀,7
"삼각관계도, 동성연애도 아닌, 두 여성의 로맨스",8
1편보다 유치하게 느껴지고영화 내내 드는 의문은 헬렌 미렌은 왜 이런 영화에 출연한 것인가?,2
잘만들었다 유포터블몇 번을 다시 태어나도 또 본다,10
아프다.영화를 보는 내내 가슴이 아프다.주인공 남녀가 우는 장면에서 나도 눈물이 나더라.,10
이 영화의 최대 장점은 <너의이름은.>이 얼마나 위대한 작품인지 깨닫게 하는 것.,8
웃음과 잔잔한 감동 다 잡은 영화다  연출도 좋다  권상우 이민정은 전성기 얼굴 거의 그대로인것도 믿기질 않네,10
감상포인트 추천에 5가지모두 찍어야하는 자극적인 맛의극치. 영화관련종사자뿐만 아니라 영화를즐기는 그대에게도 전하는 찬사,10
정말 풍경이 참 아름답고 좋았어요 ㅎㅎ 캐릭터들 각자 모두 개성 넘쳐요 특히 다이진?? 첨엔 미운짓하고해서 별로 였는데 끝 쪽으로 갈수록 너무 가엽더라고요.. ㅠㅠ 전체적으로 정의롭고 살고싶다는 의지가 넘치는 영화라 맘에 드네요!! 추천드리고 가요,8
다른 세계의 나는 잘살고있을까,10
재미있게 봤네요. 소재도 있을법한 이야기 이고요. 신선했습니다.,10
신고,8
신고,10
카메라를 쳐 흔드어대서 멀미남. 연출 거지같음.,2
그동안의 애정이 없었다면 욕나올법한 무성의함;;,4
소재는 좋았는데 결말이 아쉽다.,6
말로 형용할 수 없는 아름다운 영화에요..,10
10대 만의 우정을 과하지 않게 표현하고 인생의 동반자란 무엇인가 생각해 볼 수 있는 영화였습니다.,10
신고,10
재밌게 잘봤네요 bbbb,10
걍 보지마셈의미도 없고 볼것도 없고지들끼리 뭐라뭐라 진지해져서는뜬금 과거얘기하다가결론짓고 끝냄 ㅅㄱㄹ개노잼유튭에서 할인하길래 봤는데 시간아까움,1
후반부 동일본 대지진 부분부터 과거의 스즈메에게 말하는 부분까지 대사가 너무 마음을 울렸다. 항상 죽음이 곁에 있음을 알면서도 한 순간이라도 더 살아가고 싶은 나약한 인간들의 마음부터 참사로 하나 뿐인 가족을 잃었던 과거의 자신에게 앞으로의 희망을 주는 스즈메의 내일. 아름다운 작화 만큼이나 아름다운 대사였습니다.,9
실화 바탕인데 알고보니 그 실화가 거짓말이였다네요. 사기 영화가 사실 사기라니...,9
밀레니엄에 맞추어 적절히 만들었다는 것 이상의 의미를 두기는 좀.,5
"스물을 모티브로 한건가여,,,,??? 집중안되고 재미없어서 중간에 껐음... ㅠㅠ",6
이제야 봤음 역시 서영희 배우의 연기가 좋았어요 진짜 섬 노예 같았어요 주연 포함 조연분들도 다 그 섬 사람처럼 보였어요,7
"무조건 미래지향적인 사람들, AI의 긍정적인 면만 옹호하고 홍보하는, 편향적인 사고를 지닌 또는 지니게 만드는 시대에 경각심을 일깨워주기 좋은 영화. 가볍게 보기 좋으면서도 한번쯤 되돌아보게만드는 대사들이 괜찮은듯하다.",8
10년 전 영화네요. 잔잔한 감동을 주는 스토리가 정말 좋아요.,10
김다미와 전소니의 고등학생 연기가 전혀 어색함 없이 좋았어요재미있게 잘 봤어요,8
연출이랑 영상미가... 이 감독 작품은 언제봐도 참 놀랍다.심지어 나온지 오래된 작품마저도..,10
도라애몽에 나오는 문이 생각나서 6점,6
"분명 전형적이고, 정석적인 스토리와 억지 개그대사가 있긴한데 오랜만에 반려동물 주제 영화로 편안하고 잔잔하게 볼 수 있어 좋았다. 그리고 지금의 모습을 잘 그려내지 않았나 싶다. 화가 나고, 슬프더라~ 반성 좀 해야해~",8
몇번을 봐도 질리지 않는 명작이네요,10
팝콘을 먹으려고 사서 들어갔는데 그대로 집으로 들고 갔다.,10
"재미있을 법도 한데 재미가 없고,.... 주인공이 다짐만 하다 끝난 영화",2
신고,10
"오래 다시 보게 되는 영화다. 씬마다 수호천사 상징을 넣은 감각적인 연출과 배우들의 아름다운 연기, 웃음 포인트와 오래 맴돌게 하는 OST까지. 사랑스러운 영화다.",10
어쩌면 진부할 가족 이야기를 새롭게 그려줘서 좋았더,9
재밌게 봤습니다. 마동석과 정경호 케미 좋네요.,10
제목이 이중적인 표현이었구만? 꾸정물들의 반란?,8
예전에 봤던 미드 LOST가 생각나는 영화,5
답답하네.,1
이토록 애틋하고 다정하고 모든 준비가 다 되어있는 만점부부에게 아이가 안오는것일까.. 뉴스보면 아이가질 자격없는 부모들은 애도 숨풍숨풍 잘도 낳더만.,10
확실히 DC는 화려한 SF액션보단 느와르풍 중후함이 맛있어,10
아 상영관 좀 늘려주세요 ...보고싶네요,10
어쩌면 더 절절할지 모르는 올리버의 감정이 궁금하다. 시즌2 꼭 나왔으면,10
그 시대의 추억을 간직한 사람이라면..,10
가장 트랜드한 아이폰 감성의 홍콩식 액션무비보는 내내 너무 잘만들어서 스트레스 풀리는 영화 연출 각본  오락 액션 영상색감 뭐하나 빠지지 않고 똑똑하게 구성한  최고의 멀티버스 영화,9
볼만해요 괜찮은 영화입니다.,9
내 인생영화가 되었다 처음봤던 순간으로 돌아가 이 감정을 다시 느끼고 싶다,10
신고,10
오랜만에보는 친환경같은 따뜻한 영화입니다가족에 대한 사랑을 다시 한번 생각하게하네요.,10
잔잔하게 보기좋음! 감동도 있었음,10
"이게 왜 평점이 높을까.. 지루하고, 우스꽝스러운 행동 말투..",2
생각보다 재밌었어요,8
넷플릭스로 봤는데재미있어요,10
신고,10
개봉연도를 생각하면 70년대 그 시대에 이 정도 엄청난 퀄리티와 훌륭한 재미면 유어아이즈온리와 함께 정말 역대 최고의 1위 007영화라고 불릴수있겠습니다. 로저무어경 정말 감사합니다..,10
시원시원한 영화입니다~,8
그럭저럭 볼만했네요.,7
여자들 앞에서 가치 판단은 무의미해.내가 가장 무서운 것은 도움이 필요한 사람을 도와주지 못하는 거야.조이의 도전부터 결말까지 완벽했던 영화. 시의성 적절하게 지금 이 시기에 봐야하는 영화. 모든 여성에게 자기 결정권을!,10
삶은 고통이다.인생은 무상이다.나는 언젠가 죽는다.그러니까 순간에 몰입하자,10
이런 영화가 그만나와야 한국영화가 산다.,3
기차여행만으로 힐링이 된다.,9
1에 비해 약하지만 재밌어요,8
아쉽긴한데 배우연기는 ㄱㅊ아요,6
하나의 장르를 만들어버린 레전드 영화,9
4회차예정입니다~~,8
킬링타임용으로 보기 좋음,10
스크림 시리즈 중 1 이후로 가장 볼만한 영화,8
한번보면 모르고 두번봐야 더 깊게 이해할수 있는 내용 사운드트랙은 말하면 입만 아플정도로 좋았고 항상 느끼는 주인공들의 감정 요소가 더 들어났으면 좋았겠다 싶은 아쉬움이 남지만 그걸 덮을 정도의 작화와 적절한 사운드의 조합으로 소름이 돋는 장면은 충분히 있었당,10
뻔하지만 마음이 따뜻해지는 영화,8
기대안했는데 우직하게 밀고나가는 힘이 있는 영화입니다.,8
상남자 복싱영화 액션 미쳤다,10
저는 너의 이름은이랑 날씨의 아이가 더 재밌었어요! 작화는 예쁘지만 개연성이 너무 떨어집니다. Ost도 전작들에 비해 기대에 못미쳐요 ㅠㅠ,1
처음에 문 닫고 인트로 나올 때 전율 … 레전드 연출이었다,10
신나는 음악과 각 인물의 서사가 좋았다,10
역겨운  각본. 한국에대한 인식이 어떤지 보여주는  쓰레기,1
매력적인 배우들에 비해 안일한 각색,6
"과거는 미래의 꼬리를 물고 올라가고, 미래는 다시 상상된 기시감처럼 과거의 꼬리를 물고 있다. 회상과 상상이 뒤얽힌 구조는 창백한 탑에 층층히 놓인다. 불편한 집주인은 그렇게 불쑥불쑥 (기억하기 어려운 비밀번호를 누르며) 과거의 문을 비집고 들어온다.",9
이 미친 B급 감셩의 영화를 보고 울고 웃고 깨달음을 얻게 되다니!!,10
좀 뻔하지만 재밌게봤다,8
호불호 갈릴 영화같다 나름 볼만했다,9
로키에서의 캉은 극히 일부에 불과하지 않았다는 걸 깨닳았고 앞으로 나올 마블시리즈가 너무 기대된다!,10
"미완된 진우의 초상화, 미소의 손을 거쳐 끝내 완성된 미소의 초상화.  결국 완전한 사랑은 서로가 서로를 채워준 미소와 하은이의 사랑이 아니었을까.",10
어렷을때 정말 재밌게 봤는데 명작입니다.,10
레즈를 정당화하는 그짝 사상 OO영화 ㅇ,1
자아(내부)에 대해 불안함을 느끼는자와 인간 관계(외부)에 대해 불안함을 느끼는자의 쫓고 쫓기는  철학적 희극.,10
누구나 느꼈을 사랑과 이별에대한 공감이 많이 되는 이야기 누군가를 떠올리게 하는 스토리네요,10
기장님 역시 300 스파르타 출신이라 강하다 ㅋㅋㅋ 액션 너무 시원시원하고,10
"어렵게 다가오는 내용이었으나 배우와 연출, 음악이 너무나 조화로운 작품.말그대로 작품이었고 이영화를 통해 영화에 관심을 가지게 되었다.",10
혹시라도 영화 보시고 의문점이 생기신게 있다면 일본 지진에 대한 민간신화에 대해 알고 보면 아..그래서 이렇게 표현했구나 이해가 가실겁니다,8
음악이 영화를 겉돌게 하는 느낌이 들었다. 내용의 짜임새가 좋은 편은 아니고 전개가 조금 억지스러운 느낌,5
15분째 느낌이 팍 옴 .더이상 보면 시간에게 미안하겠다. .정말 안 보시는 걸 추천!,1
"스마트폰 카톡이 아닌 플립폰 메시지로 연락하던 20여년전, 같이 펌프를 했던 친구, 캔모아에서 토스트에 생크림을 발라 먹던 여친, 싸이월드 일촌들..어느덧 추억이 되버린 그때 그 사람들은 지금 잘 살고 있을까? 다시는 돌아갈 수 없는 내 빛나던 시절을 함께 해 준 사람들을 떠올리게 만들어 준 고마운 영화",10
0점은 없군.돈 안내고 봐서 다행,1
전개가 무척 빠르고 흥미진진하게 몰입할 수 없음. 서치1을 재밌게 봤다면 분명 2도 재밌게 관람할 수 있을것!,10
"알 수 없는 인생, 알 수 없는 누군가의 마음과 심정… 내 안에 아직 남아있는 나의 본질을 찾아 떠나 본 마산의 한 극장에서 끝내 만나지 못한 내 안에서 사라져 버린 그 무언가..",8
"영화도 사랑하고, 일본도 사랑합니다! 사랑합니다 일본 감사합니다 일본. 좋은 문화 좋은 영화 항상 감동입니다 ♡",10
피넛이 많이 컸다...스토리는 쏘쏘,6
우연히 봤는데 인생작이 되었네,10
드라마보다 감정선이 너무 짧게 이루어져서 아쉬웠다그치만 역시 ost는 너무 잘 어울린다그리고 타임슬립 내용은 역시 너무 어렵다 그리구 리쯔웨이랑 모쥔제 잘생김,8
영상미도 장난 아니고 ost도 좋아요또 보고싶음 ㅜ,10
기대 안하고 봤는데 기대이상으로 재밌었습니다. 마이 캡틴,10
지나치게 확장된 세계관.한심한 시온풍속도.이런 약점에도 불구하고 끝내주는 액션들.하이웨이 쇼는 헐리웃영상테크닉의 진수!,9
OST 도 좋고 지진에대한 비유도 너무 좋았고실제사건이 가미되서 더 마음에 와닿았던거 같아요~다시 보러갈 의향있음,10
아뉘.. 영화관에서 보여줄거면 이전편하고 다음편 매끄럽게 볼수있게 편집이라도해서 보여줘요.. 제발.. 크레딧으로 까먹는시간이 몇분이야 도데체...,5
"공중납치 된 비행기를 구하는 이야기인 줄 알았는데, 이것저것 많이 들어갔다. 이렇게 되면 지저분해지는데, 생각보다 군더더기 없고 재밌음. 물론 믿고보는 버틀러형의 힘이 제일 크다.",7
핀치는 이제 어떻게 충전하지?,8
"정말 명작 , 나루토를 본 사람이 아니여도 충분히 볼만한 애니",10
이거 보면서 감정이 오락가락 했어요 ㅋㅋ,10
뻔한 스토리인듯 했으나 마지막에 반전,10
가슴 한쪽이라도 안아주는  인형같은 영화 ㅠ,10
영상 ost 눈이 황홀하다.. 재난을 겪은 사람들에게 위로가 될만한 영화다.. 하지만 영화 내에서 궁금증으로 남는 것들이 있다. 결말의 대한 추측이 아니라 의자는 현재의 의자를 과거로 가져오는 것에서 과거 시점에는 무한개 존재해야하지 않나? 일기장의 검은부분 의미는? 어머니는 사고사? 등 러닝타임을 좀 더 길게해서 이야기를 풀어줬으면 하는 아쉬움이 있다,9
기억에 남는 내용이 없음,6
이게 현대 사극과는 다르게 진짜 그 시대의 사람들 마냥 하는 행동 표정 얼굴...갓 하나도 똑바로 안쓰고 그런게 진짜 그 옛날에 가 있는듯한 느낌을 받았어요.주인공들이 이쁘고 잘생긴것만 빼면요,10
실제 콘서트 현장처럼 실감나고 너무 재밌었습니다,10
최고의 작품 최고의 감동,10
너무 기대했나봄..재미 긴장감 액션..아무것도 없음..,1
"영상미는좋으나, 다소유치하고, 어린이들이좋아할만한영화",6
시작할 때부터 한 순간도 눈이 마르지 않았다... 특히 극 중 나오는 노래들의 가사를 곱씹어 생각할 때 온몸에 전율이 흐르는 것을 느꼈다.,10
역시 마코토 감독...,10
만화의 상상력은 어디에? 그저 졸릴뿐.,2
이종석 연기는 너무 인위적임... 몰입도를 떨어트린다.,6
감독님의 다른작품들과는 차이가 있으니 취향이 갈리수도 있을뜻 하다.  영상미 사물에 따른 빛 반사와텍스처들간에 소리는 우리의 눈을 더욱 높여주기에 부족함이 없다.,9
사람은 명백하게 '나'와 '타인'으로 나뉜다. 어떻게 표현하더라도 내가 아닌 '타인'은 '남'일 수 밖에 없다. 하지만 그 경계를 넘어설 수 있다는 걸 말해주는 영화이다.,10
기대안하고 봤는데 너무 재밌게 잘 봤어요,10
게임의 재미를 살릴거였으면 생존+미스테리로 갔어야 했고.. 새로운 캐릭터로 시리즈를 리부팅 하고 싶었으면 주인공 서사가 확실했어야 했다. 차라리 게임 스토리를 그대로 따라하지 그랬나...,1
신카이 마코토 감독의 거성이 되는 작품 . 최고입니다 꼭 보세요. 어른이 보면 더 좋은 영화,10
영화 리뷰 남겨보는거 처음이에요.영화에 대한 아무런 정보 없이 관람을 가서 그런지 그림체에 힐링...마음 후벼파는 것도 결국엔 힐링...마지막에 어머니이신분들은 다른 분들보다 더 눈물 흘리실거에요...누군가가 대입되서ㅠㅠㅠ,10
이런 소재 좋음. 연기 구멍 없고 리얼함!,8
생기넘치던 소희가 넘넘 죽어가는 모습이 애처로웠다. 아무것도 하지 않은 어른이라 미안하다 소희야.,9
확실히 극장판 좋아요.주인공들도 다들 멋지고요.또 기대됩니다. 꼭 보세요. 두번보세요,10
상영시간이 줄어도 될거같은 지루함...스토리나 영상미 자체는 괜찮은데 너무 루즈하다... 노래도 올드하고....,6
전쟁은 피난처도 전쟁으로 물들이네.,9
이거 최소 500만은 갔어야 되는 영화 였는데 포스터 부터 좀 실패 하신듯 포스터 보고 그저 그런 영화라 생각했는데 내용은 너무 잼있어서 마케팅의 실패였음,10
구원과 사랑에 대한 감동적인 영화. 브렌든 프레이저의 인생 연기.,9
가슴이 먹먹하고 여운이 남는 영화.. 특히 ost가 너무 좋다,10
정말 감동적이고 좋았습니다. 또 가고 싶네요....,8
신카이마코토는 전설이다..,10
1에 비해 좀 지루했음 이해도 안되고 ㅠ,6
화장실씬에서의 두 배우의 연기 진짜 좋았다,8
"초속5센치미터, 너의이름은 때문에 기대치가 너무 높았는지 다소 아쉬움은 있었습니다. 그래도 영상미는 좋네요~",7
"재밌는데, 너무 짧다 ㅠㅜ",10
"신선한 소재, 진부한 메시지. 원작 소설이 궁금해졌다. 행보가 실망스럽지만 샤말란 감독의 영화는 계속 찾아볼 듯.",5
기태를 꼬옥 안아주고 싶다..  그리고 지난날 학창시절의 나 또한 꼬옥 안아주고 싶다.,10
"인간의 내면을 깊숙히 파고들며, 마지막 장면까지 봐야 완성되는 영화이다",9
한번갔어도 저는 또가고싶은사람입니다. 내기억속에는임영웅네겐영원합니다.항상 노래를잘하시고 비슷하고 임영웅님을 홀딱 영원 빠져버렸습니다 역시나 건행 합니다,10
재미있게 잘 봤어요 연기도 좋고 스토리도 좋았어요,10
2시간 러닝 타임이 어떻게 가는지 모를정도로 영화 몰입감 최고였습니다.제주도 바다랑 풍경이등 영상미가 너무 좋았습니다.,10
소울메이트,6
스토리 연기 탄탄해서 몰입도가 높음,10
긴장감 넘치게 보다가 점점 후반부로 갈수록 이 영화가 무슨 이야기를 전달하고자 하는지 알게 되었고 그래서 그런가 마지막엔 너무 눈물이 나더라구요.. 보고 나와서 놓쳤던 부분이 있을까싶어 해석들을 또 찾아보니 제가 생각 했던 거 보다 더 많은 의미들을 장면마다 전달해주고 있었습니다. 아침 일찍 조용 할 때 보고왔는데 재미있게 잘 봤습니다,10
야구와 제패니메이션은 인정!!,9
마지막 장면에서 울었네요ㅠㅠ  시대와 나이를 초월한 우정 그리고 복수를 통한 카타르시스를 느낄수 있음,10
민용근 김다미 전소니,6
신고,10
우정과 사랑은 종이 한 장 차이,10
"그때 우리가 함께했던 아름다웠던 순간들.안녕, 나의 소울메이트.",8
"형사를 비롯하여 몇몇 캐릭터들의 개연성 문제는 영화 전체의 완성도를 떨어뜨릴 정도로 심각하지만, 시의적절한 소재를 현실적인 공포로 표현한 것과 등장하는 배우들의 좋은 연기는 볼만하다.",6
하루가 반복된다는 SF 설정도 일본 특유의 과장되고 오글거리는 분위기와 만나서 실망스럽게 된다.,4
"후반부에 나오는 반전은 나름 신선하고, 서로의 정체에 대해 알아가는 과정은 흥미진진하게 나온다.",6
평범한 일상의 소중함..,10
영화가 괜찮다고 느끼려고 할 때 개연성 때문에 한숨 나옴,3
재평가 받아야 하는 영화. 스토리가 기가 막혀요~  친일파들이 활개치는 요즘 꼭 봐야할 영화입니다!,10
신카이 마코토 팬이면 필히 관람하세요.,9
적당한 수준의 액션영화,7
신고,8
신고,8
진짜 재밌어요!,10
참 아름다운 영화입니다 최민식 한석규 명품연기에 매료됩니다,10
신고,6
진짜 추천드립니다. !!,10
운명처럼 주인공들이 만나서 진행되는 스토리가 정말 마음에 들었고 무엇보다도 ost가 정말 좋았던거같아요,10
"안녕,나의소울메이트 주동우가 생각났던 영화~",8
내인생 최고의 영화다 최고다 꼭보세요,10
너무 재미있고 두사람연기도 너무좋았고 OTT뜨면 또볼거에요,10
진짜 귀칼 좋아해도 이건 보면서 화남… 그냥 3기 예고 15000원내고 본 느낌,2
영화값이 안비쌀때는 킬링타임용으로는 괜찮으나 요즘같은 물가에서는 이런영화는 완전 비추인거 같음..,6
교회 크리스찬 정신나갔으면서 뭐하러 저멀리까지 교회 영업하러 가서 난리냐 너희들 좋아하는 예수님 한테 도와달라 하지 뭐하러 정부한테 도와달라 하냐 샘X교회 너희들 때문에 쓴 19억 너희가 값았냐??,4
조진웅은 언제 까지 정치적인 행보만 할건지 영롸인이몀 영화인 답게 작품을 선택 하세요,2
뻔한 시공간 스토리여서 별루엿습니다,2
콘서트를 보고 다시 보니 표정 감정이 잘볼수있어서 아주 좋았어요.,10
"없는, 말이든  있는  말이든  남의 말 하지마라  무심코  던진  돌에  개구리는  맞아 죽는다.  헛소문 내지 마라 특히 말조심해라.남한테  상처주지 말고 살아라.  교훈도 있고.최민수  연기도 좋았고  모든 면에서  좋았슴",10
딱 저희세대 얘기에 그시절 음악에 어쩌면 뻔할지 모를 스토리 잘풀어 낸 영화.감동적이네요.,10
빠른 전개에 많은 이야기를 잘 담아냈다. 이 점이 매력적이면서 아쉬운 부분이기도 하다. 한 편의 영화가 아니라 더 긴 흐름의 시리즈로 나왔어도 좋았을듯! 영상도 아름답고 소소한 반전들까지 다 좋았다. 엔딩 크레딧 올라갈 때 노래가 가슴을 울렸다. 개인적으로 ‘너의 이름은’을 극장에서 보지 못한 아쉬움이 있었는데 이번 영화로 말끔히 씻어냄.,10
다시 보니 반갑고 다시 봐도 섬뜩한,4
평점이 낮은데는 이유가있다.관계자덜만  좋은  평을  했을 듯 이것도 영화라고 ㅎ  섞어찌게도 아니고  ㅎ참 불필요한 등장인물 .소재 군더더기가 너므  많다. 중요한건 너나 잘하세요  말때문에  봤는데...이영애  이쁜게  다다.  연기자는  아닌듯  진짜 연기  너므 아니다. 올드보이 출연진  다  나왔네 ㅋㅋ,2
애니 진짜 좋아하는데 저는 너의 이름은이랑 결이 너무 비슷하다고 느꼈어요.. 분명 다른 내용인데 너의이름은 2탄 같은 느낌..?보면서 개연성이 없다는 느낌도 받았고 이해가 안가는 부분이 많아 해석을 엄청 찾아 봤습니다..실망했어요….힝!,2
"굿바이 처키, 헬로우 메간",5
"도대체가 이해안되는게 모냐면, 드론에 폰 달아놓고 내려갔다오면 되잖아~~",9
MGM은 보고 참고 좀 해라.,10
"저는 두개의 전작(너의 이름은, 날씨의 아이)을 봤을땐 재미없고 딱히 감동도 못느꼈던 사람인데요이번 스즈메의 문단속은 아무런 정보 없이 예고편만 보고 보러 간 사람인데 너무 즐겁게 봤어요!전작들에 비해서 로맨스 비중이 적다고 느꼈는데 소타와 스즈메의 감정선도 정말 그 값은 했다고 생각합니다.과거의 나를 위로하는건 결국 나 자신이라는 것도, 삶은 결국 계속되기에 과거의 아픔을 무시하는게 아닌 치유를 통해 그 아픔을 딛고 내일을 살아가는것. 그 장면에서 너무 많은 위로를 받았네요작중에서 스즈메가 죽는걸 두려워하지 않는 등 자신을 소중이 여기지 않는 그런 모습들이 나와있는데 그런 점이 저랑 너무 비슷하다고 생각했습니다그래서 저 또한 소타가 저로 인해 요석이 된다면 스즈메와 같은 선택을 할거 같아서 그런 부분에서 개연성의 부족을 느끼진 못했던거 같아요어릴때 한번 봤었던 기시감과 나로 인해 벌어진 일이라는 책임감, 함께 여행 다니면서 느낀 정 등의 감정으로도 충분히 설명된다고 생각이 들었네요(개인적인 의견입니다)다이진도 요석으로 돌아간건 스즈메가 소타 대신 자신이 요석이 되려 하니까 스즈메를 사랑했기 때문에 자신이 다시 요석으로 돌아간것이라고 해석했습니다(처음에 돌아지 않았던건 ’스즈메의 아이‘이기 때문)스즈메와 소타, 스즈메와 타마키(이모), 스즈메와 다이진, 스즈메와 치카 등등 다양한 사랑의 모양을 볼수 있어 좋았습니다ost도 완벽했어요",10
이때의 아쉬움이 <남산의 부장들>에서 어느 정도 다듬어졌다.,6
배우들 연기에 몰입하면서 볼 수 있지만 결말이영..,8
참다참다 마지막 다미양 오열에 같이 펑 ㅜㅜ교복입은모습 야옹이 숲 바다 빙하 멋지고 섬세한 연기 스토리 공감되고 개인의 꿈과 현실적인 부분이 인상깊었어요,10
일본인들이 자연재해에 관해 어떻게 생각하고 있는지 보여주는 영화. 제발 하루만 더 살게 해달라고 간절하게 비는.근데 너무 오글거려,2
역시,10
아련청춘,7
보라해♡사랑해♡방탄소년단♡,10
"그냥 뭐, 최고. 말이 필요없어요.",10
한번보지말고 두번 세번봐야할 영화...너의이름은 하곤 다른 깊은 여운이 남는 영화....,10
"닭, 토끼 조합이 포스터만 봤을때 괴상하기도하고 재미없을것 같은… 뭔가 부자연스럽게 짜맞춘 느낌이 들었는데 스토리가 재미있었다. 9살 아이가 아주 집중해서 잘봤다. 그리고 인디아나존스의 느낌이 물씬나서 정감있게 봤다",8
연출이랑 영상미 너무 짜릿하고 좋았어요! 또 보고 싶은 영상입니당,10
"살수있다  와우!  신현준님 은행나무이후 최고의 액션대작 쏴라있네 코믹 /액션/ 복수, 정말 넘 재밌게 봤어요  신현준님 화이팅~~~ 살수2가 벌써부터 기대가 됩니다 ^^",10
"영상은 예쁘나, 스토리가 부족해요 너의 이름은, 시간을 달리는 소녀, 센과치히로 같은 걸 생각하면서 보러 갔으나 실망스럽네요 상상력을 자극하는 요소도 부족합니다. 성인보단 어린 친구들이 보기엔 좋을 것 같아요",4
나만 당할 수 없다.극장에서 봤으면 얼마나 속이 쓰렸을까..,1
신고,10
이런좋은영화에 별점테러하는인간들은 다들 쪽바리인가,10
감독이 천재 진짜 너무 재밌었음 그냥 말로 표현 못함 꼭 보세요..,10
"굳이 영화관 갈필요는 있을지 개인적으로 생각함.., 그냥 다음 3기 나올려는 예고편 정도 느낌임,,",4
믿고 보는 제라드버틀러 영화~~,8
"영상미는 진짜 명작중 명작 .. 스토리가 호불호가 갈린다.. 난 불호지만 처음, 끝이 임팩트가 크고 재미있었음",6
아 최고에요.. 주연배우들 조연배우들다,10
"원작보다 영화의 짜임새는 못하지만 배우들의 연기와 연출, 영상미가 싱그럽고 조화롭다",6
남자는 잘생기고 봐야한다,10
스즈메앓이를 계속하는중,10
와 연기력들 대박 ㅎㅎ 너무 재미있는데 평점이 생각보나 낮은게 이해가 잘 안되네요,10
